Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
"LAA",5990,4347,87.7986850747608,117.709,11.230824075880506,223,0.05129975,1338,0.30779848,0.245707956,,0.395791028,,0.30495821829177466,
"BAL",6007,4207,88.76938155550368,114.93,12.29657717228518,251,0.05966247,1471,0.34965534,0.249772105,,0.42060164,,0.3149946767792453,
"BOS",6237,4565,88.54119057211665,116.622,10.539469298954579,203,0.04446878,1521,0.33318729,0.265070921,,0.414539007,,0.32106937286189247,
"CHW",6070,4370,87.77496181460593,116.077,8.819772473342127,158,0.03615561,1374,0.31441648,0.249593348,,0.380083137,,0.29972324674264605,
"CLE",6109,4380,88.33798499610967,112.118,11.191973219135622,191,0.04360731,1513,0.34543379,0.25648097,,0.400625114,,0.31540547769936395,
"DET",6159,4404,88.38555208438146,115.634,12.455593251531418,241,0.05472298,1518,0.34468665,0.27029438,,0.42016057,,0.3236052326784759,
"KCR",6116,4683,88.0059984237862,113.887,11.335576935722917,189,0.04035874,1513,0.32308349,0.268520179,,0.412197309,,0.3179640986657907,
"MIN",6017,4274,88.11823089869382,113.921,11.662553560419099,193,0.04515676,1393,0.32592419,0.246753246,,0.399122004,,0.30512961797301125,
"NYY",6268,4424,88.2452575098501,116.542,13.340464266098518,213,0.04814647,1509,0.34109403,0.250943057,,0.420873001,,0.32296856492158393,
"OAK",6171,4537,87.31739720999035,114.177,10.835178975740122,178,0.03923297,1350,0.29755345,0.250892857,,0.395,,0.307869359646758,
"SEA",6131,4281,89.91306702462273,118.989,11.008002618653666,278,0.0649381,1658,0.38729269,0.248737373,,0.411075036,,0.31278678032479557,
"TBR",6071,4241,87.9383870101332,113.239,12.846208672289857,207,0.04880924,1358,0.3202075,0.252142206,,0.405834092,,0.3130784814037494,
"TEX",6187,4375,88.63962591859801,116.024,10.95743523771898,220,0.05028571,1555,0.35542857,0.257485029,,0.413355107,,0.32056212550058416,
"TOR",6231,4456,88.80786268912085,116.265,11.343112849944905,285,0.06395871,1624,0.36445242,0.268651297,,0.457070248,,0.3442048182403426,
"ARI",6276,4441,88.46861588479898,116.54,9.956954824630404,213,0.04796217,1444,0.32515199,0.264471587,,0.41440963,,0.31893387830282455,
"ATL",6034,4412,86.9509655780606,112.92,8.393972348724198,137,0.03105168,1295,0.29351768,0.251107011,,0.359409594,,0.2957043395751199,
"CHC",6200,4041,88.07075993398603,116.24,12.788728526469027,232,0.05741153,1350,0.33407572,0.24421781,,0.398105991,,0.31332536018362234,
"CIN",6196,4403,86.93627164439467,111.688,11.649961324847371,177,0.04019986,1218,0.27662957,0.248070364,,0.393825166,,0.3069204576197671,
"COL",6071,4367,88.39174717173857,117.066,10.860187719849979,206,0.04717197,1442,0.3302038,0.265434314,,0.432340272,,0.32086759629257544,
"MIA",5988,4424,88.28547697703645,120.304,6.2062223029824946,176,0.039783,1427,0.32255877,0.259930441,,0.383671975,,0.301514118003667,
"HOU",6073,4139,88.71415379337283,115.135,13.266394769938353,255,0.06160908,1479,0.35733269,0.249679428,,0.436526836,,0.32461355251950785,
"LAD",6090,4209,88.57602534413427,115.545,11.76422693813854,234,0.05559515,1487,0.35329057,0.249953574,,0.412627669,,0.3217683914637673,
"MIL",6024,4272,88.00504129938781,114.913,9.829196021397365,180,0.04213483,1369,0.3204588,0.251459854,,0.393248175,,0.30361309682728066,
"WSN",6117,4190,89.40330395151749,115.964,9.383277567456451,240,0.05727924,1564,0.37326969,0.251105379,,0.402542372,,0.3145231025350363,
"NYM",6145,4299,88.67120209215587,114.952,12.657392863943912,220,0.05117469,1485,0.34542917,0.244436403,,0.400036185,,0.30918703090216093,
"PHI",6053,4338,87.39999378572617,113.322,10.6569256596781,159,0.03665284,1285,0.29621946,0.248507867,,0.381624163,,0.2983105795342381,
"PIT",6285,4413,88.52925497425056,115.601,9.340286117419776,228,0.05166553,1572,0.35622026,0.259634167,,0.395666844,,0.31273229114248036,
"STL",6139,4300,88.0156391511752,114.083,10.704050444242522,209,0.04860465,1413,0.32860465,0.252735229,,0.394420131,,0.31097357485081967,
"SDP",6019,4226,87.92068673225559,115.198,11.27784554714162,179,0.04235684,1366,0.3232371,0.242624152,,0.384826827,,0.2980008227203744,
"SFG",6153,4488,87.6063154216941,114.352,9.1051168519122,191,0.04255793,1396,0.31105169,0.267026055,,0.406109613,,0.318264531742079,
