Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
"LAA",6251,4322,88.00235842848724,116.6,12.937028301886793,275,0.06362795,1465,0.33896344,0.246842295,,0.421869361,,0.3164541591150859,
"BAL",6189,4221,88.01095221396379,114.8,11.792521109770808,248,0.05875385,1418,0.33593935,0.246426018,,0.414581844,,0.30780851730629777,
"BOS",6475,4454,89.90542568418955,115,12.728036322360953,326,0.07319264,1841,0.41333633,0.26932409,,0.465857885,,0.33796254550442806,
"CHW",6042,4049,89.10998866561066,117.9,10.809033877038896,268,0.06618918,1519,0.37515436,0.26098752,,0.413998914,,0.3091487058392354,
"CLE",6124,4179,89.48024491515814,114.4,12.902450980392157,279,0.06676238,1563,0.37401292,0.249585253,,0.432258064,,0.3189722110640699,
"DET",6039,4005,88.10957903774253,114.2,14.076884295437358,236,0.05892634,1463,0.36529338,0.240223463,,0.38817805,,0.28951888873261655,
"KCR",6080,4160,88.02300721768044,115.7,12.185430463576159,241,0.05793269,1376,0.33076923,0.24672489,,0.400836972,,0.30183702397220097,
"MIN",6392,4452,89.68165085824201,117,14.917007730786722,416,0.09344115,1762,0.39577718,0.269888346,,0.494068387,,0.34687732080874784,
"NYY",6245,4190,89.96313490891727,120.6,13.459186130508067,373,0.08902148,1706,0.4071599,0.26741895,,0.489879992,,0.34639191979415324,
"OAK",6269,4266,89.35103171892221,114.4,14.171065259117082,332,0.07782466,1642,0.38490389,0.248876101,,0.448300665,,0.3274366984375006,
"SEA",6199,3972,87.36593165494149,113.1,14.344836533471717,269,0.06772407,1279,0.32200403,0.237272727,,0.424,,0.3141097788713448,
"TBR",6285,4177,89.45038035562192,116.2,11.24642851769379,315,0.07541298,1641,0.39286569,0.25355366,,0.431236673,,0.3206100406996526,
"TEX",6204,4025,89.40549618760625,115.4,12.485055724417427,283,0.07031056,1557,0.3868323,0.24801444,,0.430866425,,0.3172318134544463,
"TOR",6091,4023,88.74642172393683,118.9,14.346974642229474,296,0.07357693,1496,0.37186179,0.236482796,,0.428181321,,0.3096895100750023,
"ARI",6315,4345,87.98562314465129,116.3,11.810348864434559,272,0.06260069,1495,0.34407365,0.251908396,,0.434404402,,0.31918349976117505,
"ATL",6302,4156,89.22245677010567,115.9,13.255474452554745,341,0.08205005,1602,0.38546679,0.257553956,,0.452158273,,0.3320723753981143,
"CHC",6195,4071,88.88188560907565,117.6,10.930759748142568,311,0.07639401,1456,0.35765168,0.252334737,,0.45193188,,0.329643922545474,
"CIN",6100,4083,87.36931416774526,118.3,13.563351323567206,224,0.05486162,1305,0.31961793,0.243669724,,0.421651376,,0.31188151121415886,
"COL",6288,4253,88.51553474823174,114.1,12.45616570327553,254,0.05972255,1507,0.35433811,0.265371024,,0.45565371,,0.3278860276927887,
"MIA",6045,4108,88.28730161780177,114.7,9.062376237623763,218,0.05306719,1447,0.35223953,0.240566037,,0.374637155,,0.28802278806353404,
"HOU",6394,4517,88.34988651467592,117.9,13.402333028362305,287,0.06353775,1604,0.35510294,0.274006769,,0.495456974,,0.35467182551256,
"LAD",6281,4237,89.27039953442709,114.3,14.46464155528554,319,0.07528912,1610,0.37998584,0.257418532,,0.472055343,,0.33839708507823063,
"MIL",6309,4045,89.73580629599569,117.9,11.999490316004078,310,0.07663782,1589,0.39283066,0.246481414,,0.438289426,,0.3238325017368704,
"WSN",6267,4294,88.62635958111969,113.5,14.129997605937275,297,0.06916628,1590,0.37028412,0.264876632,,0.454462989,,0.3356960747394599,
"NYM",6290,4295,89.13079246199395,118.3,11.117170754941652,282,0.06565774,1625,0.37834692,0.256934566,,0.44185633,,0.32513465356696625,
"PHI",6261,4189,88.79844267907804,116.4,13.470559610705596,271,0.06469324,1521,0.36309382,0.245736851,,0.426673846,,0.3144088300161808,
"PIT",6228,4527,88.35537418858819,116.2,10.178734061930783,231,0.05102717,1534,0.33885575,0.264627894,,0.420187378,,0.31296262882089104,
"STL",6167,4110,87.90756636784326,115.3,13.598991172761664,269,0.06545012,1395,0.33941606,0.245182602,,0.414755,,0.3141151186292183,
"SDP",6019,3879,88.89934215892262,115.9,10.733737160916514,261,0.06728538,1439,0.3709719,0.237618252,,0.409942496,,0.3046289135829109,
"SFG",6170,4210,87.82227072602721,114.7,13.207236575572804,242,0.05748219,1501,0.35653207,0.238752464,,0.391647248,,0.2947973391296817,
