Team,TG,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"ATL",162,2278,5597,6249,1543,920,293,23,307,947,916,538,20,1289,67,43,2,128,132,27,0.275683401
"TEX",162,2302,5595,6306,1470,893,326,18,233,881,845,599,17,1416,53,47,10,103,79,19,0.262734584
"TBR",162,2353,5511,6164,1432,896,282,24,230,860,827,514,7,1420,95,38,6,109,160,41,0.259843948
"MIA",162,2420,5497,6043,1423,976,258,23,166,666,633,430,23,1287,50,38,22,159,86,21,0.258868473
"HOU",162,2282,5567,6253,1441,917,280,22,222,827,799,550,17,1241,72,40,14,124,107,32,0.258846775
"BOS",162,2391,5562,6174,1437,897,339,19,182,772,734,486,15,1372,71,35,11,118,112,26,0.258360302
"LAD",162,2421,5524,6333,1422,850,303,20,249,906,877,644,29,1359,85,69,5,98,105,25,0.257422157
"TOR",162,2403,5562,6220,1423,924,292,19,188,746,705,550,14,1303,69,32,4,129,99,34,0.255843221
"PHI",162,2323,5541,6207,1417,877,291,29,220,796,771,539,22,1481,69,42,13,110,141,26,0.255730012
"BAL",162,2441,5495,6123,1399,879,309,28,183,807,780,512,14,1370,45,47,21,114,114,24,0.254595086
"CHC",162,2328,5504,6220,1399,904,269,30,196,819,786,570,11,1391,77,52,15,95,140,34,0.254178779
"WSN",162,2305,5522,6085,1401,945,279,26,151,700,665,423,6,1149,78,38,20,112,127,29,0.253712423
"CLE",162,2372,5513,6096,1379,932,294,29,124,662,622,471,40,1142,55,44,13,108,151,36,0.250136042
"ARI",162,2406,5436,6124,1359,875,274,44,166,746,706,540,11,1247,58,50,36,121,166,26,0.25
"STL",162,2298,5510,6204,1376,891,264,12,209,719,697,570,17,1326,70,37,13,122,101,29,0.249727767
"CIN",162,2492,5499,6195,1371,868,268,37,198,783,747,556,8,1500,92,29,19,101,190,48,0.249318057
"COL",162,2352,5496,6055,1368,869,305,31,163,721,685,447,8,1543,59,41,11,124,76,25,0.248908296
"LAA",162,2314,5489,6145,1346,841,248,26,231,739,708,518,27,1524,79,46,8,117,72,31,0.245217708
"KCR",162,2369,5428,5985,1325,861,258,43,163,676,651,411,12,1396,71,58,14,96,163,47,0.244104642
"SDP",162,2329,5401,6180,1316,824,273,14,205,752,719,653,16,1311,57,44,22,134,137,32,0.243658581
"MIN",162,2427,5489,6219,1336,815,264,24,233,778,745,594,13,1654,92,32,12,119,86,18,0.243395882
"SEA",162,2391,5500,6201,1332,827,283,12,210,758,728,548,14,1603,111,37,4,95,118,30,0.242181818
"MIL",162,2358,5386,6084,1290,852,257,16,165,728,696,591,15,1412,58,39,7,144,129,28,0.23950984
"PIT",162,2412,5406,6089,1293,816,287,31,159,692,662,556,9,1464,58,43,25,92,117,41,0.23917869
"NYM",162,2374,5363,6056,1276,819,221,21,215,717,692,525,11,1331,107,38,19,105,118,15,0.237926533
"CHW",162,2387,5501,5980,1308,860,264,13,171,641,617,377,19,1424,52,29,16,122,86,22,0.23777495
"DET",162,2422,5478,6080,1292,853,245,29,165,661,635,508,10,1473,49,31,13,107,85,23,0.2358525
"SFG",162,2441,5412,6095,1271,828,256,13,174,674,651,544,19,1492,81,39,17,116,57,16,0.234848484
"NYY",162,2321,5323,5973,1207,752,221,15,219,673,650,557,18,1427,47,36,9,119,100,30,0.226751831
"OAK",162,2432,5311,5966,1187,770,225,21,171,585,563,498,12,1496,85,36,28,125,149,31,0.223498399
