Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
"LAA",6016,4099,87.91151257535,119.046,12.313172987273505,319,0.07782386,1433,0.34959746,0.244804119,,0.406842008,,0.3084895757066102,
"BAL",5983,4013,88.26526789917453,114.641,13.304229951565452,306,0.07625218,1472,0.36680787,0.239114391,,0.401660516,,0.3050349826576528,
"BOS",6122,4163,89.91182689348165,118.591,13.652332681514137,411,0.09872688,1765,0.4239731,0.260964513,,0.448953594,,0.33277909194318755,
"CHW",6084,4031,89.1736907418577,117.701,10.44001147900245,313,0.07764823,1585,0.39320268,0.256300168,,0.42225126,,0.3290527831227326,
"CLE",5907,4003,88.88718605431157,114.878,12.144806960995277,307,0.07669248,1532,0.38271297,0.237996999,,0.406976744,,0.30621707110261115,
"DET",5979,3931,88.35943883554663,117.123,13.302789622445518,302,0.07682524,1494,0.38005597,0.241629464,,0.399181547,,0.30576997291376834,
"KCR",5993,4259,89.20753058399701,115.088,12.713007126421394,295,0.06926509,1655,0.38858887,0.248571955,,0.395614519,,0.30368194553818806,
"MIN",6078,4078,89.863515333096,117.141,13.127111292014984,416,0.10201079,1685,0.41319274,0.241392008,,0.423494752,,0.3175350101875522,
"NYY",6060,3894,89.865050149611,122.214,12.475685893213823,380,0.09758603,1650,0.42372881,0.237478897,,0.406865503,,0.3171555232685661,
"OAK",6104,4112,88.97792127436368,115.263,14.071560874672844,358,0.08706226,1623,0.39469844,0.237998146,,0.405931417,,0.3130806761773846,
"SEA",6010,3911,87.94862400419645,114.145,14.039003067115173,322,0.08233188,1450,0.37074917,0.225770308,,0.384873949,,0.2997861007020151,
"TBR",6213,4014,88.88707153469909,117.47,12.625702101001194,335,0.0834579,1596,0.39760837,0.242600326,,0.428908661,,0.32241813426034743,
"TEX",5943,4071,87.8934083340773,115.128,10.88856650893368,270,0.06632277,1448,0.35568656,0.2320074,,0.37520814,,0.2912298636761231,
"TOR",6070,4305,90.32705051170315,117.391,13.565332955756265,418,0.0970964,1817,0.42206736,0.265704894,,0.466033601,,0.34032781292948794,
"ARI",6144,4088,87.73891272487869,116.016,12.892087142543488,230,0.05626223,1456,0.35616438,0.236290763,,0.382401165,,0.3006836158675947,
"ATL",6056,3987,89.45233284142367,117.932,13.852380602223098,392,0.09831954,1619,0.40606973,0.24370688,,0.435017713,,0.32290754993743337,
"CHC",5972,3782,88.67748957641965,116.738,11.662799497719357,299,0.0790587,1460,0.38603913,0.236524689,,0.407463249,,0.31141164491125395,
"CIN",6162,4079,88.40394140774775,114.064,13.195033545094933,347,0.08506987,1550,0.3799951,0.2493085,,0.431311082,,0.32729430677342386,
"COL",6007,4102,87.74986464161888,114.654,11.283726087785082,270,0.06582155,1477,0.36006826,0.248976553,,0.414402679,,0.31498130075853215,
"MIA",5928,3860,88.14484464452791,115.679,11.023681265082738,246,0.06373057,1430,0.37046632,0.232610321,,0.37210172,,0.29147580249746724,
"HOU",6291,4436,89.45847306418494,116.442,14.020587051386398,342,0.07709648,1800,0.40577096,0.267477203,,0.444484176,,0.3364977335567764,
"LAD",6239,4114,89.50622396422138,115.339,14.685603225231171,360,0.08750608,1653,0.40179874,0.244260789,,0.429017447,,0.3267943585562254,
"MIL",6099,3960,88.38520246886036,116.677,12.467980535310463,299,0.07550505,1512,0.38181818,0.233308466,,0.39612085,,0.3100378469557088,
"WSN",6113,4153,88.55979650414835,116.622,9.49046076561405,288,0.06934746,1627,0.39176499,0.257753017,,0.417084493,,0.32586774045159766,
"NYM",5856,3875,88.38776088948933,118.395,11.91273787786613,282,0.07277419,1466,0.37832258,0.238579654,,0.390595009,,0.3069068735193256,
"PHI",6089,4056,88.40610525439924,116.33,11.56156587044277,294,0.07248521,1493,0.36809665,0.240029817,,0.40849795,,0.3131597758272817,
"PIT",5983,4077,87.47450596494684,118.185,10.25683824492314,219,0.05371597,1385,0.33971057,0.23631934,,0.364130434,,0.2942669069724761,
"STL",6001,4096,88.68576573803651,114.969,14.009005513475902,323,0.07885742,1523,0.37182617,0.243505886,,0.411511866,,0.3119674713671539,
"SDP",6119,4148,89.35701903658274,119.551,10.496729686892953,314,0.07569913,1675,0.40380906,0.242384843,,0.401188707,,0.31216189825742224,
"SFG",6196,4069,88.71963734829934,113.161,14.805818920087695,377,0.09265176,1574,0.38682723,0.248993042,,0.440131819,,0.3294959891530821,
