Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
"LAA",2308,1554,89.0752166787835,115.513,13.656387131403758,108,0.06949807,571,0.36743887,0.248019801,,0.430198019,,0.32907059287235024,
"BAL",2242,1537,86.99989949079709,113.213,13.96917431525851,103,0.06701366,513,0.33376708,0.258144126,,0.429417571,,0.32303129001097247,
"BOS",2304,1551,88.5490111308683,116.734,11.030219160234337,123,0.07930368,568,0.36621534,0.2650024,,0.445031204,,0.33291882068490897,
"CHW",2267,1493,88.71289585923955,115.8,11.229008411643308,142,0.09511052,595,0.39852646,0.260869565,,0.45334636,,0.33416907551223257,
"CLE",2247,1467,88.18927031788746,114.748,12.561514610684783,93,0.06339468,519,0.35378323,0.227667177,,0.372128637,,0.3032775538887632,
"DET",2076,1343,88.5127382895104,114.351,12.589806916659937,97,0.07222636,529,0.39389427,0.244585314,,0.396724775,,0.30323703874722413,
"KCR",2200,1483,87.07503067429573,114.015,11.643709736677774,101,0.06810519,501,0.33782873,0.243963782,,0.402414486,,0.30802034780689996,
"MIN",2168,1425,89.0948463044664,115.763,15.517984210218074,110,0.07719298,563,0.39508772,0.241610738,,0.427465152,,0.31917241844359406,
"NYY",2210,1449,89.17027289139597,121.3,11.7778607987521,111,0.07660455,566,0.39061422,0.246997389,,0.446997389,,0.3405720136795772,
"OAK",2201,1400,89.0372262597515,115.933,17.14498601266636,107,0.07642857,517,0.36928571,0.225366876,,0.396226415,,0.3137490699914986,
"SEA",2181,1399,87.83853598657598,112.767,12.713014106114244,98,0.07005004,502,0.35882773,0.225505443,,0.369621565,,0.2979181483216512,
"TBR",2261,1382,88.9013298034668,114.774,11.22268736222211,117,0.08465991,539,0.39001447,0.237974683,,0.424810126,,0.325133465650822,
"TEX",2147,1408,88.64250348721848,113.544,12.464422294958974,100,0.07102273,521,0.37002841,0.216942148,,0.363636363,,0.28256942984325434,
"TOR",2263,1540,89.54903867200451,117.361,11.915298086262508,133,0.08636364,643,0.41753247,0.255066732,,0.440929312,,0.32890148699495714,
"ARI",2238,1560,88.01800772013108,115.937,12.507681521262052,85,0.05448718,553,0.35448718,0.241362043,,0.391086629,,0.305651830462572,
"ATL",2344,1509,89.5281343008376,115.618,14.71029379273988,156,0.10337972,644,0.4267727,0.268081002,,0.482642237,,0.3547513426629259,
"CHC",2214,1365,88.86697687421527,116.048,11.376786870615822,101,0.07399267,544,0.3985348,0.220020855,,0.386861313,,0.30855799619576846,
"CIN",2123,1317,88.15230390369983,113.232,14.314615305301414,112,0.08504176,486,0.3690205,0.211726384,,0.402823018,,0.31185084798170476,
"COL",2257,1543,86.98491094216882,112.818,13.342472253725981,88,0.05703176,487,0.31561892,0.256684491,,0.404958677,,0.30744707061673704,
"MIA",2167,1414,87.36577199775482,112.587,10.240610483308048,88,0.06223479,485,0.34299859,0.243927648,,0.384496124,,0.30750887988337566,
"HOU",2229,1574,88.26741877950492,114.959,14.41160268641965,90,0.05717916,549,0.34879288,0.239959839,,0.407630522,,0.3113659696169954,
"LAD",2316,1587,89.97678145337242,113.105,14.982367262349095,164,0.10333963,695,0.43793321,0.256121449,,0.482859941,,0.34958523721343265,
"MIL",2188,1350,88.15897776857298,113.284,11.95887944653686,107,0.07925926,495,0.36666667,0.2234375,,0.3890625,,0.3067406452063358,
"WSN",2218,1543,87.6911524531868,113.291,11.187159961355935,98,0.06351264,542,0.35126377,0.263719512,,0.433434959,,0.32983097419122376,
"NYM",2279,1539,88.42104354647725,118.364,9.836027452618099,116,0.07537362,567,0.36842105,0.27236777,,0.459218981,,0.3470723322309586,
"PHI",2223,1486,88.2302978515625,114.69,14.056660898142848,131,0.08815612,559,0.37617766,0.256673511,,0.439425051,,0.33614575575567907,
"PIT",2134,1435,88.10463760625055,114.196,10.165198010024321,99,0.06898955,527,0.36724739,0.219979296,,0.357142857,,0.27908036358911176,
"STL",2011,1296,87.34114569844024,111.492,12.814385228149604,90,0.06944444,451,0.34799383,0.234018264,,0.371004566,,0.3063637197940158,
"SDP",2231,1520,89.79912977122297,115.7,11.739419129239991,151,0.09934211,639,0.42039474,0.256592292,,0.465517241,,0.3409705645999253,
"SFG",2259,1538,88.86303618581671,114.591,14.727144449008138,128,0.08322497,604,0.39271782,0.26349678,,0.450718177,,0.3366778241876821,
