Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
"LAA",6041,4528,88.37649588761344,117.136,10.876708789196337,220,0.04858657,1520,0.33568905,0.259620696,,0.404529552,,0.31410731988853285,
"BAL",6089,4253,89.41446995448194,117.152,13.640030357690746,334,0.0785328,1592,0.37432401,0.255792903,,0.44333816,,0.325629450753762,
"BOS",6320,4559,89.12680960525331,114.891,11.263096782934888,255,0.05593332,1609,0.35292827,0.281834215,,0.461199294,,0.3464988331629893,
"CHW",6131,4338,88.47491052299773,117.107,10.661330961455864,191,0.04402951,1431,0.32987552,0.257297297,,0.409909909,,0.31387146429877666,
"CLE",6155,4329,88.54181712455686,114.179,13.184752048400876,241,0.05567106,1507,0.34811735,0.261670313,,0.42961342,,0.32642409906093794,
"DET",6127,4278,88.94916558083688,114.658,13.128643179326566,315,0.07363254,1559,0.36442263,0.267100977,,0.438110749,,0.32992442233188246,
"KCR",6052,4401,88.36491986843342,115.583,10.623001510675623,210,0.04771643,1481,0.33651443,0.261167146,,0.400036023,,0.30716907184987713,
"MIN",6245,4262,88.4617955143039,116.352,12.374075865873259,241,0.05654622,1486,0.3486626,0.250800996,,0.421324314,,0.31697062304568824,
"NYY",6058,4353,88.0511976830045,115.207,11.269072343084149,195,0.04479669,1427,0.32781989,0.252290216,,0.40509344,,0.31068466054112787,
"OAK",6022,4402,87.81220885498274,115.874,12.673140478833917,240,0.05452067,1439,0.32689687,0.245818181,,0.394727272,,0.3018853585290192,
"SEA",6227,4361,89.34576447274698,116.312,10.769673722763752,286,0.06558129,1597,0.36620041,0.259000537,,0.42987641,,0.3252820517320446,
"TBR",6046,4046,89.0754298598607,113.69,14.503657166650102,286,0.0706871,1482,0.36628769,0.243203794,,0.425652253,,0.3145077547456295,
"TEX",6089,4363,88.83379984682946,117.842,11.412041231020623,269,0.06165482,1572,0.36030254,0.261719457,,0.433303167,,0.3240014415372301,
"TOR",6233,4184,89.22439060491674,115.336,12.476387346608966,288,0.06883365,1577,0.37691205,0.247855448,,0.425807629,,0.3266412044091448,
"ARI",6260,4320,88.96780724651236,114.273,9.741328851610637,260,0.06018519,1499,0.34699074,0.261076787,,0.431774051,,0.32132408417315955,
"ATL",6192,4391,88.34139447576746,118.493,9.356644132359309,196,0.04463676,1377,0.31359599,0.254624591,,0.384294523,,0.3042138848132625,
"CHC",6335,4244,88.15410589299263,114.667,13.301694944574619,268,0.06314797,1384,0.32610745,0.256042158,,0.428675268,,0.3333256972089889,
"CIN",6094,4306,86.78624222595568,114.916,11.595611406773731,185,0.04296331,1210,0.28100325,0.255695279,,0.407873154,,0.31117365150779197,
"COL",6236,4372,88.53356095628897,118.002,10.917744369688057,250,0.05718207,1557,0.35612992,0.275026718,,0.457427858,,0.3387094230715465,
"MIA",6133,4419,88.43711500804231,120.14,8.334584195835015,200,0.04525911,1481,0.3351437,0.263205336,,0.394267171,,0.3094896118726866,
"HOU",6204,4151,88.746463590344,118.171,11.501060042303704,279,0.06721272,1480,0.35654059,0.246528403,,0.416591523,,0.31674877027327875,
"LAD",6164,4260,89.30912647532543,118.06,10.754059752001028,264,0.06197183,1578,0.37042254,0.249184487,,0.408843783,,0.3144882249367194,
"MIL",6061,3882,88.63000086508642,115.556,10.128591407521839,227,0.05847501,1320,0.34003091,0.243714821,,0.406754221,,0.31520297538892766,
"WSN",6201,4349,89.59662141718417,114.666,12.112948985850855,259,0.05955392,1574,0.36192228,0.255555555,,0.425865209,,0.3216047236795975,
"NYM",6115,4234,88.22524017282147,114.999,14.775054678179865,240,0.05668399,1431,0.33797827,0.24583257,,0.416559809,,0.31461675820601864,
"PHI",5992,4134,88.28947541846635,113.588,10.192475996204264,192,0.04644412,1400,0.33865506,0.240338608,,0.384615384,,0.29599338785033125,
"PIT",6261,4285,88.04600667305134,113.746,10.384254583555817,204,0.04760793,1426,0.3327888,0.257307831,,0.40166005,,0.3184332198414712,
"STL",6223,4309,88.77261345896102,115.503,13.043637024537297,302,0.07008587,1548,0.35924809,0.255227108,,0.442501802,,0.32891382851808976,
"SDP",6000,3993,87.37898376873106,113.196,11.70358720761447,210,0.05259204,1285,0.32181317,0.235283262,,0.390293412,,0.29732477524275724,
"SFG",6271,4550,87.50520614109999,116.808,11.335860795451024,198,0.04351648,1410,0.30989011,0.258221024,,0.39802336,,0.3145859395559071,
