Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
"LAA",6145,4024,89.31989453248303,118.586,13.645055230731376,363,0.09020875,1601,0.39786282,0.245217708,,0.426124977,,0.3199746922525004,
"BAL",6123,4196,89.4012273342501,114.596,13.448538416071775,333,0.0793613,1705,0.40633937,0.254595086,,0.420928116,,0.32045680390289794,
"BOS",6174,4245,89.13882795393864,115.043,12.345991657802037,318,0.07491166,1699,0.40023557,0.258360302,,0.424307802,,0.3236913244505623,
"CHW",5980,4127,88.5504266665892,118.236,10.710166174008314,297,0.07196511,1547,0.37484856,0.23777495,,0.383748409,,0.29247738177126104,
"CLE",6096,4428,87.48573889830566,114.382,11.710709910224876,228,0.05149051,1457,0.32904246,0.250136042,,0.381461998,,0.3015157035421737,
"DET",6080,4050,89.08092734922685,114.402,13.281863892760361,322,0.07950617,1625,0.40123457,0.2358525,,0.381526104,,0.29984017065880003,
"KCR",5985,4107,89.35854961943174,113.848,13.438235782262847,334,0.08132457,1681,0.40930119,0.244104642,,0.397568165,,0.302903782468742,
"MIN",6219,3879,89.39307678302232,117.353,14.457673087968402,397,0.10234597,1603,0.41325084,0.243395882,,0.427582437,,0.32666121018598804,
"NYY",5973,3942,89.75784886469606,119.479,13.010133384681138,364,0.09233891,1640,0.41603247,0.226751831,,0.397332331,,0.3044882563606243,
"OAK",5966,3887,88.1829342553338,113.911,12.92685768597375,281,0.07229226,1360,0.34988423,0.223498399,,0.370363396,,0.29316750756990834,
"SEA",6201,3939,89.30224927412596,116.662,15.029455794742573,380,0.09647119,1621,0.41152577,0.242181818,,0.412545454,,0.3192700611873955,
"TBR",6164,4135,89.42693219440012,114.462,12.443813014152663,343,0.08295042,1680,0.40628779,0.259843948,,0.444928325,,0.33521079691497896,
"TEX",6306,4238,89.79847363710176,115.23,14.249900455601647,385,0.09084474,1755,0.41411043,0.262734584,,0.452368185,,0.33969398540582213,
"TOR",6220,4298,88.66498564056289,116.696,12.982990791521763,350,0.08143322,1663,0.38692415,0.255843221,,0.41657677,,0.32397466409512155,
"ARI",6124,4279,88.84922554937748,117.061,10.797957811035506,267,0.06239776,1629,0.38069642,0.25,,0.408204562,,0.3169703767520679,
"ATL",6249,4355,91.02188327277804,121.168,12.04583145655034,516,0.1184845,1996,0.45832377,0.275683401,,0.500804002,,0.3593280624577319,
"CHC",6220,4182,88.72408398614414,114.611,12.405430869070466,320,0.07651841,1602,0.3830703,0.254178779,,0.420784883,,0.3257696674005622,
"CIN",6195,4047,88.20154577286894,119.153,13.775369531573498,280,0.06918705,1473,0.36397331,0.249318057,,0.419530823,,0.32463944677249,
"COL",6055,4006,87.967103699131,115.317,12.760810425736228,306,0.07638542,1456,0.36345482,0.248908296,,0.404657933,,0.3098441948847229,
"MIA",6043,4276,88.91712338402158,115.766,10.21798978280409,305,0.07132834,1620,0.37885875,0.258868473,,0.404766236,,0.312173346502679,
"HOU",6253,4390,88.68820773595039,117.719,13.19280854291316,357,0.08132118,1691,0.38519362,0.258846775,,0.436680438,,0.33164072907017034,
"LAD",6333,4245,89.20316966348369,112.651,15.4747519447948,388,0.09140165,1719,0.404947,0.257422157,,0.454742939,,0.3411892221554766,
"MIL",6084,4023,88.28465575865857,114.827,11.685008882281775,298,0.07407407,1510,0.37534178,0.23950984,,0.385072409,,0.30868029389804025,
"WSN",6085,4435,87.85607378384137,112.52,11.237158310808454,258,0.05817362,1553,0.35016911,0.253712423,,0.395689967,,0.3090397032600705,
"NYM",6056,4093,89.44346134634966,117.296,13.333685139207002,339,0.08282433,1633,0.39897386,0.237926533,,0.407234756,,0.31499039440881926,
"PHI",6207,4118,89.50796506537951,115.739,13.176068035734172,357,0.08669257,1672,0.40602234,0.255730012,,0.437827107,,0.3294202545934026,
"PIT",6089,4011,89.1864227000141,115.812,11.909726773724339,296,0.07379706,1616,0.40289205,0.23917869,,0.391971883,,0.30841801986270584,
"STL",6204,4238,89.36084080560646,117.517,12.963855505784732,355,0.08376593,1751,0.41316659,0.249727767,,0.415789473,,0.32220911003009234,
"SDP",6180,4159,89.25355826463127,115.267,13.200543229161514,351,0.08439529,1633,0.39264246,0.243658581,,0.413256804,,0.3232176678831986,
"SFG",6095,3978,88.71405587640487,116.623,13.792508773520924,333,0.08371041,1552,0.3901458,0.234848484,,0.383407243,,0.30417807538733344,
