Team,TG,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"NYM",60,902,2023,2279,551,352,106,7,86,286,278,197,8,498,45,13,1,53,20,10,0.27236777
"ATL",60,900,2074,2344,556,320,130,3,103,348,338,239,13,573,23,7,1,39,23,4,0.268081002
"BOS",60,884,2083,2304,552,346,118,7,81,292,278,187,8,545,21,9,4,51,31,9,0.2650024
"WSN",60,870,1968,2218,519,329,112,12,66,293,279,192,16,451,32,21,5,42,33,12,0.263719512
"SFG",60,974,2019,2259,532,330,107,14,81,299,290,195,8,499,27,13,4,51,19,8,0.26349678
"CHW",60,889,2047,2267,534,338,94,6,96,306,294,179,1,571,24,13,1,44,20,8,0.260869565
"BAL",60,906,2026,2242,523,337,102,7,77,274,264,164,5,514,27,10,15,32,19,14,0.258144126
"COL",60,888,2057,2257,528,365,84,16,63,275,264,161,12,543,10,19,7,41,42,9,0.256684491
"PHI",60,875,1948,2223,500,318,90,10,82,306,289,229,16,480,28,10,8,40,35,8,0.256673511
"SDP",60,913,1972,2231,506,296,103,12,95,325,312,204,6,479,28,14,12,37,55,13,0.256592292
"LAD",60,921,2042,2316,523,302,97,6,118,349,327,228,7,471,30,12,3,46,29,8,0.256121449
"TOR",60,910,2023,2263,516,320,104,4,88,302,288,203,4,508,12,14,8,39,33,6,0.255066732
"LAA",60,890,2020,2308,501,311,97,8,85,294,285,239,8,490,25,18,6,49,21,8,0.248019801
"NYY",60,878,1915,2210,473,285,87,7,94,315,301,251,5,480,30,11,1,51,27,7,0.246997389
"DET",58,882,1893,2076,463,311,78,12,62,249,242,147,1,567,19,14,1,42,19,6,0.244585314
"KCR",60,940,1988,2200,485,313,97,7,68,248,237,172,3,527,18,10,8,28,49,20,0.243963782
"MIA",60,904,1935,2167,472,325,82,5,60,263,247,191,6,537,25,9,6,37,51,14,0.243927648
"MIN",60,882,1937,2168,468,293,81,3,91,269,258,186,9,528,29,14,2,38,14,7,0.241610738
"ARI",60,862,1997,2238,482,311,101,12,58,269,255,181,5,461,36,23,1,37,23,7,0.241362043
"HOU",60,860,1992,2229,478,294,103,12,69,279,268,192,5,440,23,13,6,39,22,11,0.239959839
"TBR",60,946,1975,2261,470,273,105,12,80,289,274,243,9,608,28,14,0,38,48,9,0.237974683
"STL",58,827,1752,2011,410,279,73,7,51,240,231,205,3,477,33,16,4,38,18,10,0.234018264
"CLE",60,869,1959,2247,446,286,96,5,59,248,234,239,4,517,24,16,7,40,25,10,0.227667177
"SEA",60,843,1929,2181,435,282,88,5,60,254,244,207,5,545,30,12,3,35,50,16,0.225505443
"OAK",60,865,1908,2201,430,257,91,11,71,274,264,238,5,524,39,14,2,44,26,3,0.225366876
"MIL",60,906,1920,2188,429,266,83,5,75,247,238,221,8,582,35,10,0,53,15,11,0.2234375
"CHC",60,908,1918,2214,422,258,82,8,74,265,248,229,9,568,52,13,1,42,24,10,0.220020855
"PIT",60,873,1932,2134,425,284,76,6,59,219,210,167,6,521,11,15,7,34,16,11,0.219979296
"TEX",60,865,1936,2147,420,269,80,9,62,224,204,167,3,548,24,18,2,33,49,14,0.216942148
"CIN",60,889,1842,2123,390,221,76,3,90,243,237,239,4,534,33,7,0,44,29,9,0.211726384
