Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
"LAA",5975,3991,88.24460597557358,115.577,13.035325130208848,283,0.07090955,1445,0.36206465,0.229046107,,0.369423184,,0.2956913206463616,
"BAL",6176,4264,89.70272557695453,114.366,14.501405151823977,381,0.08935272,1799,0.42190432,0.249865277,,0.435423028,,0.3243981082736719,
"BOS",6192,4056,89.10074573029539,114.689,13.169533277211938,361,0.08900394,1654,0.40779093,0.251748251,,0.422628653,,0.32070578443661135,
"CHW",5869,4028,88.01031426562696,113.028,13.116197914582028,247,0.06132075,1414,0.3510427,0.220509009,,0.33995913,,0.27229369751190485,
"CLE",5927,4178,87.69824058092202,116.564,14.3569235008125,241,0.0576831,1407,0.336764,0.237853107,,0.395291902,,0.3057943550683431,
"DET",6021,4032,88.63187753911166,114.028,14.568595223723268,302,0.07490079,1510,0.37450397,0.233921352,,0.385336273,,0.29889264119070835,
"KCR",5982,4340,89.530413057561,116.885,13.75631103890227,322,0.07419355,1749,0.40299539,0.247740269,,0.403431101,,0.30734678078348643,
"MIN",6123,4243,88.78729543939743,116.824,14.97851823950799,327,0.07706811,1617,0.38109828,0.246265938,,0.410928961,,0.3158831531255264,
"NYY",6245,4198,90.11124558681338,120.042,12.705278610158576,442,0.10528823,1774,0.42258218,0.248073394,,0.428623853,,0.3306241205952622,
"OAK",6034,3986,89.24959702854834,113.743,13.783961244054144,340,0.08529854,1558,0.39086804,0.233247422,,0.392673048,,0.30301122289947635,
"SEA",6067,3755,89.24825963083559,115.432,15.411358285369667,336,0.08948069,1513,0.40292943,0.224202626,,0.37598499,,0.30334341547752586,
"TBR",6006,3950,87.8994888086788,117.363,13.169994347169327,293,0.07417722,1441,0.36481013,0.230283911,,0.366116162,,0.29430693139674097,
"TEX",6053,4224,88.59089291656618,116.077,13.841789405385748,311,0.07362689,1633,0.38660038,0.237938596,,0.380116959,,0.3002595929575734,
"TOR",6060,4239,88.13926735855621,117.572,13.375831396713147,305,0.07195093,1548,0.36518047,0.241404805,,0.389279112,,0.30733825574771995,
"ARI",6284,4366,89.13371034077556,117.018,12.738854504818924,346,0.07924874,1700,0.38937242,0.262948207,,0.44005795,,0.3365652027867907,
"ATL",6075,4071,89.90065541809551,115.4,13.765470090242896,406,0.0997298,1731,0.42520265,0.243203794,,0.415070242,,0.31475247689925984,
"CHC",6116,4138,88.73412525639247,115.503,14.48180397594649,321,0.07757371,1575,0.38061866,0.242234883,,0.393126263,,0.31075224525972817,
"CIN",5970,3928,87.76165906155494,114.746,13.972980696545577,275,0.07001018,1408,0.35845214,0.230985915,,0.388169014,,0.3034473749461758,
"COL",6026,3905,88.58981443528126,114.733,12.735999999363388,322,0.08245839,1530,0.39180538,0.24184085,,0.400256692,,0.30555016516682776,
"MIA",6048,4180,88.18016209999527,117.201,9.665550246678741,296,0.0708134,1530,0.36602871,0.243933357,,0.37776168,,0.2957563334063229,
"HOU",6107,4416,88.9435004811509,116.974,13.523474419319394,333,0.07540761,1709,0.38700181,0.261844484,,0.418444846,,0.32096969490493266,
"LAD",6255,4253,89.3972669142917,119.207,15.534908643770466,391,0.0919351,1743,0.40982836,0.257696486,,0.446396233,,0.33707411224673806,
"MIL",6170,4068,88.62501278387391,118.146,11.512868831283734,293,0.07202557,1557,0.38274336,0.248355263,,0.402960526,,0.3185303828066753,
"WSN",5971,4222,88.0647963552091,114.199,10.71818395676062,235,0.05566082,1547,0.36641402,0.243021957,,0.374767398,,0.30018304781743343,
"NYM",6166,4178,89.28262526108172,116.319,12.86628393035365,369,0.08831977,1715,0.41048348,0.246279491,,0.41506352,,0.32010151067088355,
"PHI",6166,4219,89.04064238630866,115.557,12.763282643558611,325,0.07703247,1674,0.39677649,0.257137694,,0.424647632,,0.3253225826517015,
"PIT",6086,4035,89.12813171141721,121.526,11.701616491897457,331,0.08203222,1610,0.39900867,0.234252327,,0.371188606,,0.29494564981129817,
"STL",6114,4262,88.66386620837312,115.53,13.106577640332194,287,0.06733928,1612,0.37822618,0.247503177,,0.391683312,,0.3073353638339882,
"SDP",6103,4512,89.09865082151971,116.75,13.181743089605357,321,0.07114362,1734,0.38430851,0.263481722,,0.420014477,,0.32355958459673884,
"SFG",6062,4066,89.32365254674299,115.035,14.34281525791569,351,0.08632563,1608,0.39547467,0.238644688,,0.395604395,,0.30519322507858593,
