Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
"LAA",6108,4221,88.24589578373406,118.025,13.450092649174307,293,0.06941483,1540,0.36484245,0.241776315,,0.413011695,,0.31327135957310304,
"BAL",6034,4143,88.46864904328889,115.923,11.827988637788991,260,0.06275646,1468,0.35433261,0.239150172,,0.390956963,,0.2987656005121636,
"BOS",6302,4425,89.8200797826499,117.466,12.388020923183223,343,0.07751412,1757,0.39706215,0.268362084,,0.453494575,,0.3395622403396477,
"CHW",6071,3986,88.28629769284004,118.36,11.552036742688076,258,0.06472654,1425,0.35750125,0.241173275,,0.401412275,,0.3039873088521521,
"CLE",6300,4477,88.82400020311745,114.471,13.861544681938291,272,0.06075497,1626,0.36318964,0.258623771,,0.434316353,,0.33030047978829197,
"DET",6029,4208,87.61847350500912,114.392,13.110098381382505,225,0.05346958,1394,0.33127376,0.241354204,,0.379504914,,0.2953191283864129,
"KCR",6063,4259,88.16092626907174,114.091,13.604602589632906,260,0.06104719,1474,0.34609063,0.245231607,,0.39164396,,0.3026665949342736,
"MIN",6154,4255,87.88227322859358,114.594,14.347854838461421,246,0.05781434,1420,0.33372503,0.249547593,,0.404994571,,0.3131836229279857,
"NYY",6271,4163,89.41909494439308,121.703,13.481682551698782,344,0.08263272,1589,0.38169589,0.249138712,,0.45149592,,0.33525513369494525,
"OAK",6255,4248,89.46429437208097,115.287,14.959020032061765,333,0.07838983,1663,0.39147834,0.252195734,,0.4391468,,0.32944876494137515,
"SEA",6087,4366,88.74243173505702,116.955,11.279015944972338,251,0.05748969,1556,0.35639029,0.254307999,,0.408126247,,0.31264200700480593,
"TBR",6195,4166,87.72984323284896,114.429,10.272084300119506,209,0.05016803,1378,0.33077292,0.258447488,,0.406392694,,0.32223107482693336,
"TEX",6163,4036,88.2464611941662,117.477,11.873286821971494,274,0.067889,1371,0.33969277,0.239867962,,0.404181184,,0.3145892829200119,
"TOR",6076,4132,89.22272225947695,115.484,13.751950808768143,321,0.07768635,1647,0.39859632,0.243929158,,0.427058608,,0.3185674838987493,
"ARI",6157,4085,88.27502721488356,115.098,11.371300951400794,266,0.06511628,1407,0.34443084,0.234981684,,0.397435897,,0.30587244831678645,
"ATL",6251,4384,88.01676878096036,113.948,12.465167659055115,207,0.04721715,1469,0.33508212,0.256718022,,0.417413113,,0.3188998377658542,
"CHC",6369,4327,88.65460198583487,117.073,10.502642755307672,252,0.05823896,1545,0.35706032,0.258357041,,0.410384068,,0.32064890146103076,
"CIN",6240,4240,87.34458258521698,116.481,13.43235934116471,221,0.05212264,1339,0.31580189,0.253796095,,0.401482284,,0.31689097789915605,
"COL",6178,4223,88.8744919363049,118.268,9.955263212973579,246,0.05825243,1545,0.36585366,0.255910485,,0.435300487,,0.32492288348908577,
"MIA",6083,4171,87.51163000661855,115.476,9.801414037019995,206,0.04938864,1355,0.32486214,0.237427113,,0.356596209,,0.2890190913261042,
"HOU",6146,4323,88.03493932499842,114.742,13.517980271845014,244,0.05644229,1493,0.34536202,0.254905556,,0.425270493,,0.3265826866628692,
"LAD",6358,4214,89.16610105238283,115.279,14.479421397496754,330,0.07831039,1549,0.36758424,0.250179468,,0.441672648,,0.33261783449549454,
"MIL",6210,4157,88.920651911057,116.307,10.23791344581533,292,0.07024296,1564,0.37623286,0.252255503,,0.424395525,,0.32215914669426343,
"WSN",6288,4309,88.38223405640231,115.115,11.817024294000952,277,0.06428406,1525,0.35391042,0.254123617,,0.41852456,,0.3252910632556483,
"NYM",6177,4134,87.76033640848344,115.121,13.831106169320282,203,0.04910498,1370,0.33139816,0.23445501,,0.388624725,,0.30468034273314826,
"PHI",6136,3970,88.12988636526916,116.571,13.203796651025593,242,0.06095718,1388,0.34962217,0.234144542,,0.392514749,,0.30736136161469807,
"PIT",6066,4304,88.17921244182858,115.565,12.088599136420852,237,0.05506506,1479,0.34363383,0.253534055,,0.407196621,,0.3122635693362366,
"STL",6200,4215,88.80427890126796,117.163,12.249442623490747,303,0.07188612,1528,0.36251483,0.248999636,,0.409239723,,0.3157614834900477,
"SDP",6059,4034,88.48625483400956,116.914,9.613752954486475,207,0.05131383,1358,0.33663857,0.23496172,,0.38005833,,0.2936807587553932,
"SFG",6113,4149,87.60451288298358,114.18,11.700776484375337,204,0.04916847,1375,0.33140516,0.238946038,,0.367803645,,0.28956524891569124,
